"ano_ingresso","homem","mulher","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre_total","semestre_dividido","matricula","tempo_relativo"
2016,1,0,2400,1.31,630.0,0.26,12,1.5,37.0,1.5
2012,0,1,1950,1.07,660.0,0.34,9,1.12,30.0,-1.12
2011,1,0,2790,1.52,870.0,0.31,14,1.75,43.0,1.75
2017,1,0,1830,1.0,570.0,0.31,10,1.25,29.0,-1.25
2010,1,0,690,0.38,300.0,0.43,3,0.38,10.0,-0.38
2014,1,0,1350,0.74,570.0,0.42,7,0.88,20.0,-0.88
2012,0,1,930,0.51,480.0,0.52,5,0.62,14.0,-0.62
2013,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2017,1,0,690,0.38,300.0,0.43,3,0.38,10.0,-0.38
2013,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2011,1,0,2100,1.15,1020.0,0.49,11,1.38,32.0,-1.38
2011,1,0,1020,0.56,480.0,0.47,4,0.5,15.0,-0.5
2011,0,1,1440,0.79,60.0,0.04,7,0.88,23.0,-0.88
2018,1,0,1890,1.03,300.0,0.16,10,1.25,30.0,1.25
